participant.id_in_session,participant.code,participant.time_started,participant.payoff,player.id_in_group,player.infected,player.cumulative_earnings,player.actual_payment,player.transmission_chance,player.contribution,player.others_contribution_percentage,player.timeout,player.second_player_contribution_0,player.second_player_contribution_1,player.second_player_contribution_2,player.second_player_contribution_3,player.second_player_contribution_4,player.others_prediction,player.payoff,group.id_in_subsession,group.total_contribution,group.contribution_percentage,group.total_infections,group.end_total_infections,group.total_earnings,group.average_earnings,group.lockdown,group.lockdown_round,group.lockdown_number,group.lockdown_cost,group.patient_zero_switch,subsession.round_number,session.code,session.is_demo
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,390,0,0.5,0,60,0,0,1,2,3,4,1,100,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,50,1,,,,,,,0,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,200,0,0.5,0,60,0,0,0,0,0,0,0,100,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,1,290,20,0,2,55,0,1,1,2,3,4,2,80,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,0,320,20,0.25,2,55,0,3,3,2,2,1,2,80,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,0,0,,0,4,77.5,1,,,,,,2,0,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,1,390,30,0,3,80,0,4,4,3,2,1,3,70,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,0,300,30,0.12,3,80,0,1,2,3,3,4,3,70,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,360,40,0,4,77.5,0,4,4,4,4,4,3,60,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,1,420,30,0,3,80,0,4,3,2,2,0,1,70,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,470,20,0.25,2,82.5,0,0,1,3,4,4,2,80,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,280,20,0.25,2,82.5,0,2,2,2,2,2,2,80,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,1,350,40,0,4,77.5,0,0,1,2,3,4,4,60,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,0,400,20,0.25,2,82.5,0,3,3,2,2,1,2,80,2,35,79.55,3,3,570,52,0,0,0,60,0,5,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,1,470,20,0,2,82.5,0,4,4,2,2,0,1,80,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,0,370,30,0.19,3,80,0,1,2,3,3,4,3,70,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,430,30,0.19,3,80,0,4,4,4,4,3,3,70,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,1,490,30,0,3,80,0,4,3,2,2,0,2,70,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,550,20,0.38,2,82.5,0,0,1,3,4,4,2,80,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,280,,0,4,77.5,1,,,,,,,0,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,1,410,40,0,4,77.5,0,1,1,3,3,4,4,60,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,1,480,20,0.38,2,82.5,0,3,3,2,2,1,2,80,2,35,79.55,3,4,510,46,0,0,0,60,0,6,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,1,550,20,0,2,82.5,0,4,4,4,3,2,3,80,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,1,450,20,0.5,2,82.5,0,1,2,3,3,4,2,80,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,490,40,0,4,77.5,0,4,4,4,4,4,3,60,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,1,560,30,0,3,80,0,4,3,2,2,0,3,70,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,630,20,0.5,2,82.5,0,0,1,3,4,4,2,80,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,280,,0,4,77.5,1,,,,,,,0,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,1,470,40,0,4,77.5,0,4,4,4,4,4,2,60,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,1,560,20,0,2,82.5,0,3,3,2,2,1,2,80,2,35,79.55,4,5,510,46,0,0,0,60,0,7,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,0,0,,0,4,85,1,,,,,,,0,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,1,620,30,0,3,87.5,0,4,4,4,3,3,3,70,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,1,520,30,0,3,87.5,0,1,2,3,3,4,3,70,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,85,1,,,,,,,0,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,550,40,0,4,85,0,4,4,4,4,4,4,60,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,1,620,40,0,4,85,0,4,3,3,2,0,3,60,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,700,30,0.25,3,87.5,0,1,2,3,4,4,3,70,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,85,1,,,,,,,0,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,280,30,0.25,3,87.5,0,,,,,,3,0,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,1,530,40,0,4,85,0,4,4,4,4,4,3,60,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,1,640,20,0,2,90,0,3,3,2,2,1,3,80,2,38,86.36,5,5,470,43,0,0,0,60,0,8,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,0,0,,0,4,75,1,,,,,,,0,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,1,690,30,0,3,77.5,0,4,4,4,3,3,2,70,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,1,600,20,0,2,80,0,1,2,3,3,4,3,80,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,75,1,,,,,,,0,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,620,30,0.25,3,77.5,0,3,3,3,2,2,3,70,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,1,680,40,0,4,75,0,4,3,3,2,0,3,60,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,770,30,0.25,3,77.5,0,1,2,3,4,4,2,70,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,75,1,,,,,,,0,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,280,20,0.5,2,80,0,,,,,,2,0,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,1,600,30,0,3,77.5,0,3,3,3,4,4,3,70,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,1,720,20,0,2,80,0,3,3,2,2,1,3,80,2,34,77.27,5,5,500,45,0,0,0,60,0,9,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,1,760,30,0,3,80,0,4,4,4,3,3,2,70,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,1,680,20,0,2,82.5,0,1,2,3,3,4,3,80,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,690,30,0.25,3,80,0,2,2,2,2,1,2,70,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,1,750,30,0,3,80,0,4,3,3,2,0,3,70,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,850,20,0.5,2,82.5,0,1,2,3,4,4,2,80,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,77.5,1,,,,,,,0,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,280,,0,4,77.5,1,,,,,,,0,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,1,660,40,0,4,77.5,0,3,3,4,4,4,3,60,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,1,800,20,0,2,82.5,0,3,3,2,2,1,3,80,2,35,79.55,5,5,510,46,0,0,0,60,0,10,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,0,0,,0,4,67.5,1,,,,,,,0,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,1,850,10,0,1,75,0,4,3,3,2,2,3,90,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,1,680,,0,4,67.5,1,1,2,3,3,4,2,0,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,67.5,1,,,,,,,0,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,760,30,0.25,3,70,0,3,3,2,2,1,2,70,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,1,820,30,0,3,70,0,4,3,3,2,0,3,70,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,1,940,10,0.75,1,75,0,1,2,3,4,4,2,90,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,67.5,1,,,,,,,0,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,1,280,20,0.5,2,72.5,0,,,,,,2,0,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,1,730,30,0,3,70,0,3,3,4,4,4,3,70,2,31,70.45,5,7,470,43,0,0,0,60,0,11,ui73b4cc,0
