participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.age,player.gender,player.covid_positive,player.location,player.state,player.reading,player.Prolific_ID,player.crt_widget,player.crt_lake,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
4,xlmhqr8q,5be677307514d00001084e85,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:46.838669+00:00,1,,,1601,4,,22,Female,0,Australia,NSW,0,5be677307514d00001084e85,0,0,0,1,1,zelyerub,,,,,0
5,rneyu0gh,5efbcff7da2d8d17bc7c6014,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:46.914662+00:00,1,,,1939,5,,35,Male,0,Australia,NSW,0,5efbcff7da2d8d17bc7c6014,5,47,0,1,1,zelyerub,,,,,0
6,b3xd9ejs,5ecd07a910b71601ce6261b1,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:47.255182+00:00,1,,,1146,6,,33,Female,0,Australia,NSW,0,5ecd07a910b71601ce6261b1,5,47,0,1,1,zelyerub,,,,,0
7,22lfey3n,5ec6ff2ae72f951454b622f8,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:47.144349+00:00,1,,,2089,7,,23,Female,0,Australia,NSW,0,5ec6ff2ae72f951454b622f8,5,47,0,1,1,zelyerub,,,,,0
8,4u29aiqi,5e806a2f1a07dd748a804fce,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:48.557940+00:00,1,,,1812,8,,22,Male,0,Australia,VIC,0,5e806a2f1a07dd748a804fce,100,38,0,1,1,zelyerub,,,,,0
9,w7vpvbhc,5d53fd59f6d6da00011209c0,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:48.244153+00:00,1,,,1134,9,,22,Male,0,Australia,SA,0,5d53fd59f6d6da00011209c0,5,47,0,1,1,zelyerub,,,,,0
10,vtnwqssv,5e793ab51aff8103623757be,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:48.524522+00:00,1,,,126,10,,22,Female,0,Australia,VIC,0,5e793ab51aff8103623757be,100,24,0,1,1,zelyerub,,,,,0
1,r2jikfpm,5c74ecb644dc0b0001b9f3ae,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:44.752410+00:00,1,,,1713,1,,21,Male,0,Australia,NSW,0,5c74ecb644dc0b0001b9f3ae,100,47,0,1,1,nqa29xsa,,,,,0
2,xpefb6yc,5ee49e71f8d19d00098aca3e,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:44.839776+00:00,1,,,1406,2,,25,Male,0,Australia,VIC,0,5ee49e71f8d19d00098aca3e,5,47,0,1,1,nqa29xsa,,,,,0
3,khuosnkb,5f158fe3696881556b96de39,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:44.885578+00:00,1,,,3294,3,,29,Female,0,Australia,WA,0,5f158fe3696881556b96de39,5,24,0,1,1,nqa29xsa,,,,,0
4,o37yvhtw,5e243c063d2e1b6bcce4c82f,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:44.996034+00:00,1,,,1298,4,,36,Female,0,Australia,VIC,0,5e243c063d2e1b6bcce4c82f,5,47,0,1,1,nqa29xsa,,,,,0
5,d3jkuvq0,5f71b56cbeed7a02b8a5d751,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:44.960308+00:00,1,,,1417,5,,25,Female,0,Australia,NSW,0,5f71b56cbeed7a02b8a5d751,5,47,0,1,1,nqa29xsa,,,,,0
6,6u3cljg4,5e809ddd8fdcf0016141cc5e,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:45.754027+00:00,1,,,459,6,,61,Female,0,Australia,NSW,0,5e809ddd8fdcf0016141cc5e,5,24,0,1,1,nqa29xsa,,,,,0
7,l3yzwhod,5af85a3223708c000159b3ce,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:45.353789+00:00,1,,,2582,7,,29,Female,0,Australia,NSW,0,5af85a3223708c000159b3ce,0,0,0,1,1,nqa29xsa,,,,,0
8,rpuu9mtr,5c27441810677f0001dbac0d,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:45.525086+00:00,1,,,2026,8,,32,Female,0,Australia,SA,0,5c27441810677f0001dbac0d,5,24,0,1,1,nqa29xsa,,,,,0
9,12lf2vwc,5e92700c0e841a09f0e152bb,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:46.655734+00:00,1,,,1769,9,,29,Male,0,Australia,NSW,0,5e92700c0e841a09f0e152bb,500,47,0,1,1,nqa29xsa,,,,,0
10,182ylvl1,5f2a6a0f23cc6d2561700c41,0,405,405,payment_info,PaymentInfo,2020-11-16 10:03:46.421502+00:00,1,,,2208,10,,26,Male,0,Australia,QLD,0,5f2a6a0f23cc6d2561700c41,0,0,0,1,1,nqa29xsa,,,,,0
1,2pkszh0n,5f2f6bd842762f36474b3cd1,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:39.631429+00:00,1,,,1321,1,,40,Male,0,Australia,NSW,0,5f2f6bd842762f36474b3cd1,5,47,0,1,1,vizyjuho,,,,,0
2,ycs214gs,5f9956eedef93700088d6404,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:39.679740+00:00,1,,,1730,2,,36,Male,0,Australia,NSW,0,5f9956eedef93700088d6404,5,47,0,1,1,vizyjuho,,,,,0
3,zdj42p7n,577fdb17160201000103dcbf,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:39.911139+00:00,1,,,1330,3,,33,Male,0,Australia,NSW,0,577fdb17160201000103dcbf,5,47,0,1,1,vizyjuho,,,,,0
4,kmehmrhm,5f96215945124f17374e5cb2,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:39.838154+00:00,1,,,1487,4,,23,Male,0,Australia,VIC,0,5f96215945124f17374e5cb2,5,47,0,1,1,vizyjuho,,,,,0
5,uyfu0yaw,5f26a51167da714016328935,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:39.723329+00:00,1,,,2179,5,,47,Male,0,Australia,QLD,0,5f26a51167da714016328935,100,24,0,1,1,vizyjuho,,,,,0
6,mtro89k2,5ef595c0b4fd3d1f52f995e3,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:39.778399+00:00,1,,,1634,6,,29,Male,0,Australia,QLD,0,5ef595c0b4fd3d1f52f995e3,20,24,0,1,1,vizyjuho,,,,,0
7,5p7t2951,5f9362c86e6da1132887c92a,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:39.807807+00:00,1,,,1471,7,,20,Female,0,Australia,VIC,0,5f9362c86e6da1132887c92a,100,24,0,1,1,vizyjuho,,,,,0
8,glv6o66g,5f196cb3c1ed3803086a45f1,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:40.034301+00:00,1,,,1619,8,,50,Female,0,Australia,WA,0,5f196cb3c1ed3803086a45f1,0,0,0,1,1,vizyjuho,,,,,0
9,kc8qg1z0,5b0a9b13444cef0001ca2b32,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:40.136018+00:00,1,,,1229,9,,19,Female,0,Australia,VIC,0,5b0a9b13444cef0001ca2b32,100,47,0,1,1,vizyjuho,,,,,0
10,5ccvu5kl,5eb0106407e8740524e54fa2,0,405,405,payment_info,PaymentInfo,2020-11-16 10:59:39.870343+00:00,1,,,156,10,,0,,0,,,0,,0,0,0,1,1,vizyjuho,,,,,0
1,gwiulyv3,5dbe0ef2e5f6c832c7583f53,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:19.349168+00:00,1,,,177,1,,26,Male,0,Australia,VIC,0,5dbe0ef2e5f6c832c7583f53,100,24,0,1,1,qyfwabaf,,,,,0
2,vi4pwcwj,5e3d6bf25535c502122a5997,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:20.102420+00:00,1,,,2505,2,,32,Female,0,Australia,VIC,0,5e3d6bf25535c502122a5997,5,6,0,1,1,qyfwabaf,,,,,0
3,qsy30bvb,5f41f85b7c09cc3b74ce0bd4,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:19.486663+00:00,1,,,1749,3,,24,Female,0,Australia,VIC,0,5f41f85b7c09cc3b74ce0bd4,100,24,0,1,1,qyfwabaf,,,,,0
4,2bhzo03q,5bf0f67f11439b000168f513,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:19.519376+00:00,1,,,2129,4,,25,Female,0,Australia,VIC,0,5bf0f67f11439b000168f513,0,0,0,1,1,qyfwabaf,,,,,0
5,d2nspv1z,5eaed4e579bb9201d2de7f72,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:20.307208+00:00,1,,,1746,5,,38,Male,0,Australia,VIC,0,5eaed4e579bb9201d2de7f72,5,47,0,1,1,qyfwabaf,,,,,0
6,et6nl4hq,5e7c8cf033285d2cc0e1bb1c,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:19.727354+00:00,1,,,1647,6,,36,Female,1,Australia,NSW,0,5e7c8cf033285d2cc0e1bb1c,100,24,0,1,1,qyfwabaf,,,,,0
7,ptrrvkfm,5f24227c55217f000a870161,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:19.622229+00:00,1,,,2692,7,,26,Female,0,Australia,VIC,0,5f24227c55217f000a870161,100,24,0,1,1,qyfwabaf,,,,,0
8,ixskvbov,5fa2428f861aca408bedebe5,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:19.913595+00:00,1,,,2060,8,,32,Female,0,Australia,VIC,0,5fa2428f861aca408bedebe5,100,47,0,1,1,qyfwabaf,,,,,0
9,hcapmaw3,5d6de63201523a0001f51f27,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:19.792352+00:00,1,,,2150,9,,54,Female,0,Australia,SA,0,5d6de63201523a0001f51f27,5,47,0,1,1,qyfwabaf,,,,,0
10,ve48lcmj,5f0ab472f142601cc2f394f2,0,405,405,payment_info,PaymentInfo,2020-11-17 00:15:20.043535+00:00,1,,,2123,10,,19,Female,0,Australia,ACT,0,5f0ab472f142601cc2f394f2,100,47,0,1,1,qyfwabaf,,,,,0
