session.code,participant.code,participant.payoff,subsession.round_number,player.id_in_group,player.infected,player.timeout,player.cumulative_earnings,player.others_prediction,player.contribution,player.others_contribution_percentage,player.actual_payment,player.payoff,player.transmission_chance,player.second_player_contribution_0,player.second_player_contribution_1,player.second_player_contribution_2,player.second_player_contribution_3,player.second_player_contribution_4,group.total_contribution,group.total_infections,group.end_total_infections,group.total_earnings,group.lockdown,group.lockdown_number,group.lockdown_cost,group.patient_zero_switch,nTimeout,lastRoundOthers,player.age,player.gender,player.covid_positive,player.location,player.attention_check,Order
l96mug06,01zo9tr5,2810,31,10,1,0,2310,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,6,110,1,3,90,0,0,85,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,32,10,0,0,2320,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,1,110,1,3,90,0,0,0,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,33,10,0,0,2400,0,20,57.5,20,80,0.38,0,0,10,10,20,25,1,3,790,0,3,90,0,0,0,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,34,10,0,0,2470,20,30,77.5,30,70,0.25,10,10,20,20,30,34,3,4,700,0,3,90,0,0,57.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,35,10,0,0,2560,20,10,87.5,10,90,0.75,10,20,20,30,30,36,4,5,680,0,3,90,0,0,77.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,36,10,0,0,2630,30,30,92.5,30,70,0.19,20,20,30,30,30,40,5,5,640,0,3,90,0,0,87.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,37,10,0,0,2710,20,20,90,20,80,0.5,20,30,30,40,40,38,5,5,660,0,3,90,0,0,92.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,38,10,1,0,2790,30,20,92.5,20,80,0.38,20,20,30,30,40,39,5,6,650,0,3,90,0,0,90,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,39,10,1,0,2800,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,6,110,1,4,90,0,0,92.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,40,10,0,0,2810,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,1,110,1,4,90,0,0,0,43,Male,0,Scotland,Chicago,Low Cost First
oi33rp64,0ea1a9gm,2280,1,2,0,0,90,10,10,42.5,10,90,0,0,10,30,30,30,18,1,1,790,0,0,90,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,2,2,0,0,180,10,10,40,10,90,0,0,10,20,30,40,17,1,1,870,0,0,90,0,0,42.5,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,3,2,0,0,260,20,20,40,20,80,0,0,10,10,20,0,18,1,1,860,0,0,90,0,0,40,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,4,2,0,0,340,20,20,42.5,20,80,0.5,0,10,20,30,0,19,1,5,850,0,0,90,1,0,40,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,5,2,0,0,410,30,30,82.5,30,70,0.25,0,20,30,30,40,36,5,5,680,0,0,90,0,0,42.5,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,6,2,0,0,480,30,30,77.5,30,70,0.25,0,20,30,30,40,34,5,5,700,0,0,90,0,0,82.5,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,7,2,0,0,540,20,40,85,40,60,0,0,20,40,30,10,38,5,5,660,0,0,90,0,0,77.5,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,8,2,0,0,610,30,30,72.5,30,70,0.25,0,0,40,30,0,32,5,5,720,0,0,90,0,0,85,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,9,2,0,0,680,20,30,60,30,70,0.25,0,0,30,40,0,27,5,5,770,0,0,90,0,0,72.5,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,10,2,0,0,750,20,30,65,30,70,0.25,0,0,30,40,0,29,5,5,750,0,0,90,0,0,60,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,11,2,0,0,820,20,30,62.5,30,70,0.25,0,0,30,40,0,28,5,6,760,0,0,90,0,0,65,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,12,2,0,0,830,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,6,110,1,1,90,0,0,62.5,28,Female,0,England,Chicago,High Cost First
